CC(C)Nc1ncnc2oc(c3ccc(OCCN4CCCC4)cc3)c(c5ccccc5)c12,C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23,CHEMBL247866,CHEMBL247468,[*:1]C(C)C>>[*:1]CCN1CCNCC1,[*:1]Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c21
CC(=O)Nc1ccc(cc1)c2ccnc(Nc3cccc(NC(=O)c4ccccc4)c3)n2,CC(=O)Nc1ccc(cc1)c2ccnc(Nc3ccccc3)n2,CHEMBL2207767,CHEMBL2208023,[*:1]Nc1cccc(NC([*:2])=O)c1>>[*:1]N[*:2],[*:2]c1ccccc1.[*:1]c1nccc(-c2ccc(NC(C)=O)cc2)n1
C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cccc(c4)C#N)c5ccccc5,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4ccc(cc4)C#N)c5ccccc5,CHEMBL220969,CHEMBL374321,[*:1]c1cccc([*:2])c1>>[*:1]c1ccc([*:2])cc1,[*:1]C#N.[*:2]c1cc(N[C@@H](C)c2ccccc2)nc(-n2cnc3ccncc32)n1
C[C@@H](Nc1nccc(n1)n2cnc3ccncc23)c4ccccc4,C[C@H](N(C)c1ccnc(n1)n2cnc3ccncc23)c4ccccc4,CHEMBL375076,CHEMBL218602,[*:1]c1ccnc(NC([*:2])[*:3])n1>>[*:1]c1nccc(N([*:3])[C@H]([*:2])C)n1,[*:3]C.[*:2]c1ccccc1.[*:1]n1cnc2ccncc21
C[C@@H](Nc1nccc(n1)n2cnc3ccncc23)c4ccccc4,C[C@H](N(C)c1ccnc(n1)n2cnc3ccncc23)c4ccccc4,CHEMBL375076,CHEMBL218602,[*:1]c1ccnc(NC([*:2])[*:3])n1>>[*:1]c1nccc(N(C)C([*:2])[*:3])n1,[*:3]C.[*:2]c1ccccc1.[*:1]n1cnc2ccncc21
C[C@@H](Nc1nccc(n1)n2cnc3ccncc23)c4ccccc4,C[C@H](Nc1ccnc(n1)n2cnc3ccncc23)c4ccccc4,CHEMBL375076,CHEMBL221029,[*:1]c1ccnc(NC([*:2])[*:3])n1>>[*:1]c1nccc(NC([*:2])[*:3])n1,[*:3]C.[*:2]c1ccccc1.[*:1]n1cnc2ccncc21
C[C@H](N(C)c1ccnc(n1)n2cnc3ccncc23)c4ccccc4,C[C@H](Nc1ccnc(n1)n2cnc3ccncc23)c4ccccc4,CHEMBL218602,CHEMBL221029,[*:1]c1nccc(N([*:2])[C@H]([*:3])C)n1>>[*:1]c1nccc(NC([*:2])[*:3])n1,[*:2]C.[*:3]c1ccccc1.[*:1]n1cnc2ccncc21
C[C@H](N(C)c1ccnc(n1)n2cnc3ccncc23)c4ccccc4,C[C@H](Nc1ccnc(n1)n2cnc3ccncc23)c4ccccc4,CHEMBL218602,CHEMBL221029,[*:1]c1nccc(N(C)C([*:2])[*:3])n1>>[*:1]c1nccc(NC([*:2])[*:3])n1,[*:3]C.[*:2]c1ccccc1.[*:1]n1cnc2ccncc21
Cc1cc(ccc1C(=O)N2CCOCC2)c3cnc4cccc(c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3,Cc1cc(ccc1C(=O)N2CCOCC2)c3cnc4cccc(c5ccc(CN6CCOCC6)c(F)c5)c4n3,CHEMBL1093119,CHEMBL1092840,[*:1]c1cc([*:2])c([*:3])c(F)c1>>[*:1]c1ccc([*:3])c([*:2])c1,[*:2]F.[*:3]CN1CCOCC1.[*:1]c1cccc2ncc(-c3ccc(C(=O)N4CCOCC4)c(C)c3)nc12
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL576257,[*:1]Nc1nc(O[*:2])c([*:3])nc1C>>[*:1]Nc1cnc([*:3])c(N[*:2])n1,[*:3]C#N.[*:1]c1cc(C)[nH]n1.[*:2][C@H](C)c1ccc(F)cn1
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(Cl)cc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL1773082,[*:1]Nc1nc(O[*:2])c([*:3])nc1C>>[*:2]Nc1nc(N[*:1])c(Cl)cc1[*:3],[*:3]C#N.[*:1]c1cc(C)[nH]n1.[*:2][C@H](C)c1ccc(F)cn1
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL578201,[*:1]Nc1nc(O[*:2])c([*:3])nc1C>>[*:2]Nc1nc(N[*:1])c(C)nc1[*:3],[*:3]C#N.[*:1]c1cc(C)[nH]n1.[*:2][C@H](C)c1ccc(F)cn1
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL1774056,[*:1]Nc1nc(O[*:2])c([*:3])nc1C>>[*:2]Nc1nc(N[*:1])c(F)cc1[*:3],[*:3]C#N.[*:1]c1cc(C)[nH]n1.[*:2][C@H](C)c1ccc(F)cn1
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL1774056,[*:1]Nc1nc(O[*:2])c([*:3])nc1C>>[*:2]Nc1nc(N[*:1])c(F)cc1[*:3],[*:3]C#N.[*:1]c1cc(C)[nH]n1.[*:2][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(Cl)cc1C#N)c3ccc(F)cn3,CHEMBL576257,CHEMBL1773082,[*:1]Nc1cnc([*:2])c(N[*:3])n1>>[*:3]Nc1nc(N[*:1])c(Cl)cc1[*:2],[*:2]C#N.[*:1]c1cc(C)[nH]n1.[*:3][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL576257,CHEMBL578201,[*:1]Nc1cnc([*:2])c(N[*:3])n1>>[*:3]Nc1nc(N[*:1])c(C)nc1[*:2],[*:2]C#N.[*:1]c1cc(C)[nH]n1.[*:3][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL576257,CHEMBL1774056,[*:1]Nc1cnc([*:2])c(N[*:3])n1>>[*:3]Nc1nc(N[*:1])c(F)cc1[*:2],[*:2]C#N.[*:1]c1cc(C)[nH]n1.[*:3][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL576257,CHEMBL1774056,[*:1]Nc1cnc([*:2])c(N[*:3])n1>>[*:3]Nc1nc(N[*:1])c(F)cc1[*:2],[*:2]C#N.[*:1]c1cc(C)[nH]n1.[*:3][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(Cl)cc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL1773082,CHEMBL578201,[*:1]Nc1nc(N[*:2])c(Cl)cc1[*:3]>>[*:1]Nc1nc(N[*:2])c(C)nc1[*:3],[*:3]C#N.[*:2]c1cc(C)[nH]n1.[*:1][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(Cl)cc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL1773082,CHEMBL1774056,[*:1]Nc1nc(N[*:2])c(Cl)cc1[*:3]>>[*:1]Nc1nc(N[*:2])c(F)cc1[*:3],[*:3]C#N.[*:2]c1cc(C)[nH]n1.[*:1][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(Cl)cc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL1773082,CHEMBL1774056,[*:1]Nc1nc(N[*:2])c(Cl)cc1[*:3]>>[*:1]Nc1nc(N[*:2])c(F)cc1[*:3],[*:3]C#N.[*:2]c1cc(C)[nH]n1.[*:1][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL578201,CHEMBL1774056,[*:1]Nc1nc(N[*:2])c(C)nc1[*:3]>>[*:1]Nc1nc(N[*:2])c(F)cc1[*:3],[*:3]C#N.[*:2]c1cc(C)[nH]n1.[*:1][C@H](C)c1ccc(F)cn1
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,CHEMBL578201,CHEMBL1774056,[*:1]Nc1nc(N[*:2])c(C)nc1[*:3]>>[*:1]Nc1nc(N[*:2])c(F)cc1[*:3],[*:3]C#N.[*:2]c1cc(C)[nH]n1.[*:1][C@H](C)c1ccc(F)cn1
CN(C)CCCNC(=O)\C=C\c1ccc2c(c1)c3c4C(=O)NCc4c5c6ccccc6n7CC(CO)Cn2c3c57,Cc1ncsc1\C=C\c2ccc3c(c2)c4c5C(=O)NCc5c6c7ccccc7n8CC(CO)Cn3c4c68,CHEMBL233856,CHEMBL245172,[*:1]C=CC(=O)NCCCN([*:2])C>>[*:1]C=Cc1scnc1[*:2],[*:2]C.[*:1]c1ccc2c(c1)c1c3c(c4c5ccccc5n5c4c1n2CC(CO)C5)CNC3=O
Cc1cnc2Nc3ccc(OCCN4CCCC4)c(COCC=CCOCc5cccc(c5)c1n2)c3,Fc1cnc2Nc3ccc(OCCN4CCCC4)c(COCC=CCOCc5cccc(c5)c1n2)c3,CHEMBL2181088,CHEMBL2181310,[*:1]C>>[*:1]F,[*:1]c1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CHEMBL1938646,CHEMBL1938645,[*:1]C(=O)NCc1ccccc1>>[*:1]C(=O)Nc1ccccc1,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938648,[*:1]C(=O)NCc1ccccc1>>[*:1]C(=O)N(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938643,[*:1]C(=O)NCc1ccccc1>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938644,[*:1]C(=O)NCc1ccccc1>>[*:1]C(=O)NCC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938647,[*:1]C(=O)NCc1ccccc1>>[*:1]C(=O)NC(C)(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938642,[*:1]C(=O)NCc1ccccc1>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938643,[*:1]C(=O)NCc1ccccc1>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)NCc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938646,CHEMBL1938642,[*:1]C(=O)NCc1ccccc1>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938648,[*:1]C(=O)Nc1ccccc1>>[*:1]C(=O)N(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938643,[*:1]C(=O)Nc1ccccc1>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938644,[*:1]C(=O)Nc1ccccc1>>[*:1]C(=O)NCC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938647,[*:1]C(=O)Nc1ccccc1>>[*:1]C(=O)NC(C)(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938642,[*:1]C(=O)Nc1ccccc1>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938643,[*:1]C(=O)Nc1ccccc1>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938645,CHEMBL1938642,[*:1]C(=O)Nc1ccccc1>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938648,CHEMBL1938643,[*:1]C(=O)N(C)C>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938648,CHEMBL1938644,[*:1]C(=O)N(C)C>>[*:1]C(=O)NCC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938648,CHEMBL1938647,[*:1]C(=O)N(C)C>>[*:1]C(=O)NC(C)(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938648,CHEMBL1938642,[*:1]C(=O)N(C)C>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938648,CHEMBL1938643,[*:1]C(=O)N(C)C>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CN(C)C(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938648,CHEMBL1938642,[*:1]C(=O)N(C)C>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938643,CHEMBL1938644,[*:1]C(=O)NC>>[*:1]C(=O)NCC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938643,CHEMBL1938647,[*:1]C(=O)NC>>[*:1]C(=O)NC(C)(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938643,CHEMBL1938642,[*:1]C(=O)NC>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938643,CHEMBL1938642,[*:1]C(=O)NC>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938644,CHEMBL1938647,[*:1]C(=O)NCC>>[*:1]C(=O)NC(C)(C)C,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938644,CHEMBL1938642,[*:1]C(=O)NCC>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938644,CHEMBL1938643,[*:1]C(=O)NCC>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938644,CHEMBL1938642,[*:1]C(=O)NCC>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938647,CHEMBL1938642,[*:1]C(=O)NC(C)(C)C>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938647,CHEMBL1938643,[*:1]C(=O)NC(C)(C)C>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CC(C)(C)NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938647,CHEMBL1938642,[*:1]C(=O)NC(C)(C)C>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938642,CHEMBL1938643,[*:1]C(N)=O>>[*:1]C(=O)NC,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,CHEMBL1938643,CHEMBL1938642,[*:1]C(=O)NC>>[*:1]C(N)=O,[*:1]c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc21
CCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CCN(CCC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CHEMBL569092,CHEMBL570456,[*:1]CN([*:2])C([*:3])=O>>[*:1]CCN([*:2])C([*:3])=O,[*:2]CC.[*:3]C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1.[*:1]C(F)(F)F
CCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CCCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CHEMBL569092,CHEMBL569957,[*:1]CN([*:2])C([*:3])=O>>[*:1]CN(C[*:2])C([*:3])=O,[*:2]CC.[*:3]C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1.[*:1]C(F)(F)F
CCN(CCC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CCCN(CC(F)(F)F)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(N)nn4cccnc34,CHEMBL570456,CHEMBL569957,[*:1]CCN([*:2])C([*:3])=O>>[*:1]CN(C[*:2])C([*:3])=O,[*:2]CC.[*:3]C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1.[*:1]C(F)(F)F
CCN(CC)C(=O)OC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,C[C@@H](CO)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CHEMBL1630787,CHEMBL1630783,[*:1]OC(=O)N(CC)CC>>[*:1]O,[*:1]C[C@H](C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc32)C1
CCN(CC)C(=O)OC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CNC(=O)COC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CHEMBL1630787,CHEMBL1630785,[*:1]OC(=O)N(CC)CC>>[*:1]OCC(=O)NC,[*:1]C[C@H](C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc32)C1
CCN(CC)C(=O)OC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CCN(CC)C(=O)COC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CHEMBL1630787,CHEMBL1630784,[*:1]OC(=O)N(CC)CC>>[*:1]OCC(=O)N(CC)CC,[*:1]C[C@H](C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc32)C1
C[C@@H](CO)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CNC(=O)COC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CHEMBL1630783,CHEMBL1630785,[*:1]O>>[*:1]OCC(=O)NC,[*:1]C[C@H](C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc32)C1
C[C@@H](CO)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CCN(CC)C(=O)COC[C@H](C)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23,CHEMBL1630783,CHEMBL1630784,[*:1]O>>[*:1]OCC(=O)N(CC)CC,[*:1]C[C@H](C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc32)C1
